,country_1,country_2,run,count
1032,C,IB,38,1
1033,C,NW,38,2
1034,C,N,38,1
1035,C,B,38,2
1036,C,C,38,5
1037,C,E,38,3
1038,E,IB,38,1
1039,E,NW,38,2
1040,E,N,38,2
1041,E,B,38,2
1042,E,C,38,3
1043,E,E,38,8
1044,IB,IB,39,8
1045,IB,NW,39,1
1046,IB,N,39,1
1047,IB,B,39,1
1048,IB,C,39,5
1049,IB,E,39,1
1050,NW,IB,39,1
1051,NW,NW,39,12
1052,NW,N,39,0
1053,NW,B,39,2
1054,NW,C,39,5
1055,NW,E,39,5
1056,N,IB,39,1
1057,N,NW,39,0
1058,N,N,39,12
1059,N,B,39,5
1060,N,C,39,4
1061,N,E,39,4
1062,B,IB,39,1
1063,B,NW,39,2
1064,B,N,39,5
1065,B,B,39,9
1066,B,C,39,1
1067,B,E,39,4
1068,C,IB,39,5
1069,C,NW,39,5
1070,C,N,39,4
1071,C,B,39,1
1072,C,C,39,9
1073,C,E,39,4
1074,E,IB,39,1
1075,E,NW,39,5
1076,E,N,39,4
1077,E,B,39,4
1078,E,C,39,4
1079,E,E,39,11
1080,IB,IB,40,8
1081,IB,NW,40,3
1082,IB,N,40,0
1083,IB,B,40,1
1084,IB,C,40,4
1085,IB,E,40,3
1086,NW,IB,40,3
1087,NW,NW,40,10
1088,NW,N,40,2
1089,NW,B,40,3
1090,NW,C,40,6
1091,NW,E,40,4
1092,N,IB,40,0
1093,N,NW,40,2
1094,N,N,40,12
1095,N,B,40,9
1096,N,C,40,4
1097,N,E,40,9
1098,B,IB,40,1
1099,B,NW,40,3
1100,B,N,40,9
1101,B,B,40,14
1102,B,C,40,7
1103,B,E,40,11
1104,C,IB,40,4
1105,C,NW,40,6
1106,C,N,40,4
1107,C,B,40,7
1108,C,C,40,14
1109,C,E,40,12
1110,E,IB,40,3
1111,E,NW,40,4
1112,E,N,40,9
1113,E,B,40,11
1114,E,C,40,12
1115,E,E,40,16
1116,IB,IB,41,12
1117,IB,NW,41,1
1118,IB,N,41,1
1119,IB,B,41,2
1120,IB,C,41,6
1121,IB,E,41,1
1122,NW,IB,41,1
1123,NW,NW,41,7
1124,NW,N,41,2
1125,NW,B,41,2
1126,NW,C,41,3
1127,NW,E,41,3
1128,N,IB,41,1
1129,N,NW,41,2
1130,N,N,41,10
1131,N,B,41,8
1132,N,C,41,3
1133,N,E,41,4
1134,B,IB,41,2
1135,B,NW,41,2
1136,B,N,41,8
1137,B,B,41,13
1138,B,C,41,5
1139,B,E,41,8
1140,C,IB,41,6
1141,C,NW,41,3
1142,C,N,41,3
1143,C,B,41,5
1144,C,C,41,9
1145,C,E,41,4
1146,E,IB,41,1
1147,E,NW,41,3
1148,E,N,41,4
1149,E,B,41,8
1150,E,C,41,4
1151,E,E,41,10
1152,IB,IB,42,13
1153,IB,NW,42,3
1154,IB,N,42,1
